gene	display_name	functional_category	notes
afpD	afpD	Adhesion/Colonization	"DNA binding protein type II/IV SS family protein, AFP fimbrial cluster"
afpE	afpE	Adhesion/Colonization	"type II SS protein, AFP fimbrial cluster"
afpF	afpF	Adhesion/Colonization	"type II/IV SS family protein, AFP fimbrial cluster"
afpG	afpG	Adhesion/Colonization	"hypothetical protein, AFP fimbrial cluster"
afpH	afpH	Adhesion/Colonization	"lytic transglycosylase, AFP fimbrial cluster"
afpI	afpI	Adhesion/Colonization	"hypothetical protein, AFP fimbrial cluster"
afpJ	afpJ	Adhesion/Colonization	"hypothetical protein, AFP fimbrial cluster"
afpK	afpK	Adhesion/Colonization	"hypothetical protein, AFP fimbrial cluster"
afpL	afpL	Adhesion/Colonization	"hypothetical protein, AFP fimbrial cluster"
afpP	afpP	Adhesion/Colonization	"prepilin peptidase, AFP fimbrial cluster"
afpU	afpU	Adhesion/Colonization	"hypothetical protein, AFP fimbrial cluster"
agg	agg	Adhesion/Colonization	aggregation substance
agg3A	agg3A	Adhesion/Colonization	AAF/III major fimbrial subunit
agg4A	agg4A	Adhesion/Colonization	AAF/IV major fimbrial subunit
aggA	aggA	Adhesion/Colonization	AAF/I major fimbrial subunit
aggR	aggR	Adhesion/Colonization	AraC transcriptional activator
CAA46156	AIDA-I	Adhesion/Colonization	AIDA-I type autotransporter protein
air	air	Adhesion/Colonization	Enteroaggregative immunoglobulin repeat protein
anr	anr		AraC negative regulator
aslA	aslA		Acyltransferase
astA	astA (EAST-1)	Toxins	Heat-stable enterotoxin EAST-1
east1	astA (EAST-1)	Toxins	Heat-stable enterotoxin EAST-1
atl	atl		bifunctional autolysin Atl
aur	aur		aureolysin
bfpA	bfpA	Adhesion/Colonization	Major subunit of bundle-forming pili
boa	boa		Protease from Salmonella bongori
cad	cad		
camE	camE		sex pheromone cAM373 precursor
cap1A	cap1A	Protectins/Resistance to body defenses	capsular polysaccharide biosynthesis protein cap1A
cap1B	cap1B	Protectins/Resistance to body defenses	capsular polysaccharide biosynthesis protein cap1B
cap1C	cap1C	Protectins/Resistance to body defenses	capsular polysaccharide biosynthesis protein cap1C
cap5A	cap5A	Protectins/Resistance to body defenses	capsular polysaccharide biosynthesis protein cap5A
cap5B	cap5B	Protectins/Resistance to body defenses	capsular polysaccharide biosynthesis protein cap5B
cap5C	cap5C	Protectins/Resistance to body defenses	capsular polysaccharide biosynthesis protein cap5C
cap5D	cap5D	Protectins/Resistance to body defenses	capsular polysaccharide biosynthesis protein cap5D
cap5E	cap5E	Protectins/Resistance to body defenses	capsular polysaccharide biosynthesis protein cap5E
cap5F	cap5F	Protectins/Resistance to body defenses	capsular polysaccharide biosynthesis protein cap5F
cap5G	cap5G	Protectins/Resistance to body defenses	capsular polysaccharide biosynthesis protein cap5G
cap5H	cap5H	Protectins/Resistance to body defenses	capsular polysaccharide biosynthesis protein cap5H
cap5I	cap5I	Protectins/Resistance to body defenses	capsular polysaccharide biosynthesis protein cap5I
cap5J	cap5J	Protectins/Resistance to body defenses	capsular polysaccharide biosynthesis protein cap5J
cap5K	cap5K	Protectins/Resistance to body defenses	capsular polysaccharide biosynthesis protein cap5K
cap5L	cap5L	Protectins/Resistance to body defenses	capsular polysaccharide biosynthesis protein cap5L
cap5M	cap5M	Protectins/Resistance to body defenses	capsular polysaccharide biosynthesis protein cap5M
cap5N	cap5N	Protectins/Resistance to body defenses	capsular polysaccharide biosynthesis protein cap5N
cap5O	cap5O	Protectins/Resistance to body defenses	capsular polysaccharide biosynthesis protein cap5O
cap5P	cap5P	Protectins/Resistance to body defenses	capsular polysaccharide biosynthesis protein cap5P
cap8A	cap8A	Protectins/Resistance to body defenses	truncated capsular polysaccharide synthesis enzyme cap5A
cap8B	cap8B	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme cap8B
cap8C	cap8C	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme cap8C
cap8D	cap8D	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme cap8D
cap8E	cap8E	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme cap8E
cap8F	cap8F	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme cap8F
cap8G	cap8G	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme cap8G
cap8H	cap8H	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme cap8H
cap8I	cap8I	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme cap8I
cap8J	cap8J	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme cap8J
cap8K	cap8K	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme cap8K
cap8L	cap8L	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme cap8L
cap8M	cap8M	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme cap8M
cap8O	cap8O	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme cap8O
cap8P	cap8P	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme cap8P
capA	capA	Protectins/Resistance to body defenses	capsular polysaccharide biosynthesis protein capA
capB	capB	Protectins/Resistance to body defenses	capsular polysaccharide biosynthesis protein capB
capC	capC	Protectins/Resistance to body defenses	capsular polysaccharide synthesis protein capC
capD	capD	Protectins/Resistance to body defenses	polysaccharide biosynthesis protein capD
capE	capE	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme capE
capF	capF	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme capF
capG	capG	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme capG
capH	capH	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme capH
capI	capI	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme capI
capJ	capJ	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme capJ
capK	capK	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme capK
capL	capL	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme capL
capM	capM	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme capM
capN	capN	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme capN
capO	capO	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme capO
capP	capP	Protectins/Resistance to body defenses	capsular polysaccharide synthesis enzyme capP
capU	capU	Adhesion/Colonization	Hexosyltransferase homolog
cba	cba	Colicin/Bacteriocins/Microcins	Colicin B
cCF10	cCF10		
ccI	ccI		Cloacin
cdt-IB	cdt-B	Toxins	Cytolethal distending toxin sub unit B
cdt-IIB	cdt-B	Toxins	Cytolethal distending toxin sub unit B
cdt-IIIB	cdt-B	Toxins	Cytolethal distending toxin sub unit B
cdt-VB	cdt-B	Toxins	Cytolethal distending toxin sub unit B
cdt-VIB	cdt-B	Toxins	Cytolethal distending toxin sub unit B
cdt-Ea	cdt-Ea	Toxins	Escherichia albertii cytolethal distending toxin B
cdt-Sb	cdt-Sb	Toxins	Shigella boydii strain K-1 cytolethal distending toxin ABC
cdtA	cdtA	Toxins	Cytolethal distending toxin sub unit A
cdtB	cdtB	Toxins	Cytolethal distending toxin sub unit B
cdtC	cdtC	Toxins	Cytolethal distending toxinsub unit C
cea	cea	Colicin/Bacteriocins/Microcins	Colicin E1
cfaA	cfaA	Adhesion/Colonization	Colonisation factor antigen A  Major pilin
cfaE	cfaE	Adhesion/Colonization	CFA/1 Pilus length modulator
chuA	chuA	Iron uptake and utilization	Outer membrane hemin receptor
cia	cia	Colicin/Bacteriocins/Microcins	Colicin ia
cib	cib	Colicin/Bacteriocins/Microcins	Colicin ib
cif	cif	Secretion system	"Type III secretion system effector Cif, cyclomodulin"
clbB	clbB	Colicin/Bacteriocins/Microcins	Hybrid non-ribosomal peptide / polyketide megasynthase
clfA	clfA		"fibrinogen-binding protein A, clumping factor"
clfB	clfB		"clumping factor ClfB, fibrinogen binding protein"
clpK1	clpK1		heat shock survival AAA family ATPase ClpK. thermal stress survival
clpK2	clpK2		heat shock survival AAA family ATPase ClpK. thermal stress survival
cma	cma	Colicin/Bacteriocins/Microcins	Colicin M activity
cmaHa	cmaHa	Adhesion/Colonization	CS27 Coli surface antigen a
cmaHb	cmaHb	Adhesion/Colonization	CS27 Coli surface antigen b
cna	cna	Adhesion/Colonization	collagen adhesin precursor
cnf1	cnf1	Toxins	Cytotoxic necrotizing factor 1
cnf2	cnf2	Toxins	Cytotoxic necrotizing factor 2
cnf3	cnf3	Toxins	Cytotoxic necrotizing factor 3
cnmHa	cnmHa	Adhesion/Colonization	CS28 Coli surface antigen a
cnmHb	cnmHb	Adhesion/Colonization	CS28 Coli surface antigen b
coa	coa		staphylocoagulase precursor
cOB1	cOB1		
cofA	cofA	Adhesion/Colonization	CS8 Type IV pilin precursor; major pilin
cofD	cofD	Adhesion/Colonization	CS8 Lipoprotein; secretin
cofE	cofE	Adhesion/Colonization	CS8 Inner membrane accessory protein (IMAP)
cofF	cofF	Adhesion/Colonization	CS8 Inner membrane accessory protein (IMAP)
cofG	cofG	Adhesion/Colonization	CS8 Inner membrane accessory protein (IMAP)
cofH	cofH	Adhesion/Colonization	CS8 Nucleotide-binding protein; assembly ATPase
cofI	cofI	Adhesion/Colonization	CS8 Integral membrane protein; inner membrane core protein (IMCP)
cofJ	cofJ	Adhesion/Colonization	CS8 Secreted colonization factor
cofP	cofP	Adhesion/Colonization	CS8 Prepilin peptidase
cofS	cofS	Adhesion/Colonization	CS8 AraC-like protein
cofT	cofT	Adhesion/Colonization	CS8 Unknown
colE2	colE2	Colicin/Bacteriocins/Microcins	Colicin E2
colE2-like	colE2-like	Colicin/Bacteriocins/Microcins	Colicin lysis protein precursor E2-like
colE4	colE4	Colicin/Bacteriocins/Microcins	Colicin E4
colE5	colE5	Colicin/Bacteriocins/Microcins	Colicin E5 lysis protein Lys
colE6	colE6	Colicin/Bacteriocins/Microcins	Colicin E6
colE7	colE7	Colicin/Bacteriocins/Microcins	Colicin E7
colE8	colE8	Colicin/Bacteriocins/Microcins	Colicin E8
colE9	colE9	Colicin/Bacteriocins/Microcins	Colicin E9
cooA	cooA	Adhesion/Colonization	CS1 pilin major subunit
cosA	cosA	Adhesion/Colonization	PCFO71 Major fimbrial subunit
crsF	crsF	Adhesion/Colonization	CS26 fimbrial protein
crsG	crsG	Adhesion/Colonization	CS26 hypothetical protein
crsH	crsH	Adhesion/Colonization	"CS26 Coli surface antigen, type 1 fimbrial protein"
crsS	crsS	Adhesion/Colonization	CS26 Tyrosine-type DNA invertase
crsT	crsT	Adhesion/Colonization	CS26 Tyrosine-type DNA invertase
C719-09_CS22	CS22	Adhesion/Colonization	"Colonization factor (CF), CS22"
clpL	CS31A	Adhesion/Colonization	CS31A minor subunit
csaB	csaB	Adhesion/Colonization	CS4 major fimbrial subunit
csbA	csbA	Adhesion/Colonization	CS17 Fimbrial major subunit
csdA	csdA	Adhesion/Colonization	CS19 Major fimbrial subunit
cseA	cseA	Adhesion/Colonization	CS22 Adhesin protein
csfA	csfA	Adhesion/Colonization	CS5 major subunit
csfE	csfE	Adhesion/Colonization	CS5 Pilus length modulator
csgA	csgA	Adhesion/Colonization	curlin major subunit CsgA
cshE	cshE	Adhesion/Colonization	CS13 Pilin
csmA	csmA	Adhesion/Colonization	CS30 Major subunit
csmG	csmG	Adhesion/Colonization	CS30 Fimbrial adhesin
csmS	csmS	Adhesion/Colonization	CS30 Site specific recombinase
csmT	csmT	Adhesion/Colonization	CS30 Site specific recombinase
csnA	csnA	Adhesion/Colonization	CS20 Fimbria major subunit
cssA	cssA	Adhesion/Colonization	CS6 Structural subunit A
cssB	cssB	Adhesion/Colonization	CS6 Structural subunit B
cstG	cstG	Adhesion/Colonization	CS3 Major pilin
cstH	cstH	Adhesion/Colonization	CS3 Major pilin reported but not found
csuA	csuA	Adhesion/Colonization	CS14 Major fimbrial subunit
csvA	csvA	Adhesion/Colonization	CS7 Major subunit
cswA	cswA	Adhesion/Colonization	CS12 Major subunit
cswG	cswG	Adhesion/Colonization	CS12 Putative adhesin
cswR	cswR	Adhesion/Colonization	CS12 Transcriptional activator
cvaC	cvaC	Colicin/Bacteriocins/Microcins	Microcin C
cylA	cylA		
cylB	cylB		
cylL	cylL		
cylM	cylM		
dhaK	dhaK		Dihydroxyacetone kinase (ptnC)
eae	eae	Adhesion/Colonization	Intimin
eae-a01-alpha1	eae	Adhesion/Colonization	Intimin
eae-a02-alpha2	eae	Adhesion/Colonization	Intimin
eae-a03-zeta	eae	Adhesion/Colonization	Intimin
eae-a04-zeta	eae	Adhesion/Colonization	Intimin
eae-a05a-nu	eae	Adhesion/Colonization	Intimin
eae-a05b-nu	eae	Adhesion/Colonization	Intimin
eae-a06-omicron	eae	Adhesion/Colonization	Intimin
eae-a07-tau	eae	Adhesion/Colonization	Intimin
eae-a08-alpha8	eae	Adhesion/Colonization	Intimin
eae-a09-alpha9	eae	Adhesion/Colonization	Intimin
eae-a10-alpha10	eae	Adhesion/Colonization	Intimin
eae-a11-alpha11	eae	Adhesion/Colonization	Intimin
eae-a12-alpha12	eae	Adhesion/Colonization	Intimin
eae-a13a-alpha13	eae	Adhesion/Colonization	Intimin
eae-a13b-alpha13	eae	Adhesion/Colonization	Intimin
eae-a14-alpha14	eae	Adhesion/Colonization	Intimin
eae-a15-alpha15	eae	Adhesion/Colonization	Intimin
eae-a16-alpha16	eae	Adhesion/Colonization	Intimin
eae-a17-alpha17	eae	Adhesion/Colonization	Intimin
eae-a18-alpha18	eae	Adhesion/Colonization	Intimin
eae-b01a-beta1a	eae	Adhesion/Colonization	Intimin
eae-b01b-beta1b	eae	Adhesion/Colonization	Intimin
eae-b02a-beta2a	eae	Adhesion/Colonization	Intimin
eae-b02b-beta2b	eae	Adhesion/Colonization	Intimin
eae-b03-beta3	eae	Adhesion/Colonization	Intimin
eae-b04-delta	eae	Adhesion/Colonization	Intimin
eae-b05-Citrobacter	eae	Adhesion/Colonization	Intimin
eae-b06-beta4	eae	Adhesion/Colonization	Intimin
eae-b07-beta7	eae	Adhesion/Colonization	Intimin
eae-b08-kappa	eae	Adhesion/Colonization	Intimin
eae-e01-epsilon1	eae	Adhesion/Colonization	Intimin
eae-e02-epsilon2	eae	Adhesion/Colonization	Intimin
eae-e03a-epsilon3	eae	Adhesion/Colonization	Intimin
eae-e03b-epsilon3	eae	Adhesion/Colonization	Intimin
eae-e04-epsilon4	eae	Adhesion/Colonization	Intimin
eae-e05-eta1	eae	Adhesion/Colonization	Intimin
eae-e06-eta2	eae	Adhesion/Colonization	Intimin
eae-e07-xi	eae	Adhesion/Colonization	Intimin
eae-e08-pi	eae	Adhesion/Colonization	Intimin
eae-e09-epsilon9	eae	Adhesion/Colonization	Intimin
eae-e10-epsilon10	eae	Adhesion/Colonization	Intimin
eae-e11-epsilon11	eae	Adhesion/Colonization	Intimin
eae-e12-eta2	eae	Adhesion/Colonization	Intimin
eae-g01-gamma1	eae	Adhesion/Colonization	Intimin
eae-g02-theta	eae	Adhesion/Colonization	Intimin
eae-g03-mu	eae	Adhesion/Colonization	Intimin
eae-g04-sigma	eae	Adhesion/Colonization	Intimin
eae-g05-gamma5	eae	Adhesion/Colonization	Intimin
eae-g06-gamma6	eae	Adhesion/Colonization	Intimin
eae-g07-gamma7	eae	Adhesion/Colonization	Intimin
eae-g08-gamma8	eae	Adhesion/Colonization	Intimin
eae-g09-gamma9	eae	Adhesion/Colonization	Intimin
eae-i01-iota1	eae	Adhesion/Colonization	Intimin
eae-i02b-iota2	eae	Adhesion/Colonization	Intimin
eae-i03-upsilon	eae	Adhesion/Colonization	Intimin
eae-l01-lambda1	eae	Adhesion/Colonization	Intimin
eae-l02-lambda2	eae	Adhesion/Colonization	Intimin
eae-l03-lambda3	eae	Adhesion/Colonization	Intimin
eae-l04a-lambda4	eae	Adhesion/Colonization	Intimin
eae-l04b-lambda4	eae	Adhesion/Colonization	Intimin
eae-l05-lambda5	eae	Adhesion/Colonization	Intimin
eae-r01-rho1	eae	Adhesion/Colonization	Intimin
eae-r02-rho2	eae	Adhesion/Colonization	Intimin
eae-r03-rho3	eae	Adhesion/Colonization	Intimin
eae-r04-rho4	eae	Adhesion/Colonization	Intimin
eap	eap	Adhesion/Colonization	extracellular adherence protein
eap/map	eap/map	Adhesion/Colonization	extracellular adherence protein
eatA	eatA	Adhesion/Colonization	Mucin-degrading serine protease autotransporter
ebh	ebh	Adhesion/Colonization	cell wall associated fibronectin-binding protein
ebpA	ebpA		
ebpB	ebpB		
ebpC	ebpC		
ebpS	ebpS	Adhesion/Colonization	cell surface elastin binding protein
edinA	edinA		epidermal cell differentiation inhibitor A
edinB	edinB		epidermal cell differentiation inhibitor B
edinC	edinC		epidermal cell differentiation inhibitor C
efa1	efa1	Adhesion/Colonization	EHEC factor for adherence
efaAfm	efaAfm		
efaAfs	efaAfs		
efb	efb		extracelular fibrinogen-binding protein
ehxA	ehxA	Toxins	Enterohaemolysin
eilA	eilA	Invasion	Salmonella HilA homolog
ElrA	ElrA		
eltIAB-1	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-10	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-11	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-12	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-13	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-14	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-15	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-15b	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-16	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-17	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-18	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-19	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-2	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-20	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-21	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-22	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-23	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-24	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-25	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-26	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-27	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-28	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-29	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-3	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-30	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-31	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-33	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-33	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-4	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-5	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-6	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-7	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-8	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIAB-9	eltIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIIAB-a	eltIIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIIAB-b1	eltIIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIIAB-b2	eltIIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIIAB-c1	eltIIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIIAB-c2	eltIIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIIAB-c3	eltIIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIIAB-c4	eltIIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIIAB-c5	eltIIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIIAB-c6	eltIIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIIAB-c7	eltIIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIIAB-c8	eltIIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIIAB-c9	eltIIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIIAB-d1	eltIIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIIAB-d2	eltIIAB (LT)	Toxins	Heat-labile enterotoxin LT
eltIIAB-e	eltIIAB (LT)	Toxins	Heat-labile enterotoxin LT
epeA	epeA	Adhesion/Colonization	Serine protease autotransporter
esaA	esaA	Secretion system	type VII secretion protein EsaA
esaB	esaB	Secretion system	Putative secretion accessory protein EsaB/YukD
esaC	esaC	Secretion system	EsaC protein within ESAT-6 gene cluster
espA	espA	Secretion system	Type III secretion system translocator protein A
espA-Cr	espA-Cr	Secretion system	"Type III secretions system, C. rodentium"
espB	espB	Secretion system	Type III secretion system translocator protein B
espC	espC	Secretion system	Type III secretion system secreted protein C
espD	espD	Secretion system	Type III secretion system translocator protein D
espF	espF	Secretion system	Type III secretion system effector F
espF-Cr	espF-Cr	Secretion system	Citrobacter rodentium secreted protein F; Type III secretion system
espfm	espfm	Secretion system	
espfs	espfs	Secretion system	
espI	espI	Secretion system	Serine protease autotransporter
espJ	espJ	Secretion system	Prophage-encoded type III secretion system effector
espP	espP	Secretion system	Serine protease autotransporter
espY1	espY1	Secretion system	Type III secretion system effector EspY1
espy2	espy2	Secretion system	Non-LEE-encoded type III secreted effector
espy3	espy3	Secretion system	Non-LEE-encoded type III secreted effector
essA	essA	Secretion system	protein secretion system EssA
essB	essB	Secretion system	putative secretion system component EssB
essC	essC	Secretion system	type VII secretion protein EssC
estah-STa2	estA (STa)	Toxins	Heat-stable enterotoxin STa
estah-STa3	estA (STa)	Toxins	Heat-stable enterotoxin STa
estap-STa1	estA (STa)	Toxins	Heat-stable enterotoxin STa
estap-STa4	estA (STa)	Toxins	Heat-stable enterotoxin STa
estap-STa5	estA (STa)	Toxins	Heat-stable enterotoxin STa
estap-STa6	estA (STa)	Toxins	Heat-stable enterotoxin STa
estap-STa7	estA (STa)	Toxins	Heat-stable enterotoxin STa
estap-STa8	estA (STa)	Toxins	Heat-stable enterotoxin STa
estap-STa9	estA (STa)	Toxins	Heat-stable enterotoxin STa
estIa	estA (STa)	Toxins	Heat-stable enterotoxin STa
estb-STb1	estB (STb)	Toxins	Heat-stable enterotoxin STb
estb-STb2	estB (STb)	Toxins	Heat-stable enterotoxin STb
esxA	esxA		ESAT-6/WXG100 family secreted protein EsxA/YukE
esxB	esxB		Virulence factor EsxB family protein
eta	eta	Toxins	Exfoliative toxin A
etd	etd	Toxins	Exfoliative toxin A
etpA	etpA	Adhesion/Colonization	EtpA Invasin and adherence
etpB	etpB	Adhesion/Colonization	EtpB Nonfimbrial adhesin/TPS transporter
etpC	etpC	Secretion system	EtpC Glycotransferase
etpD	etpD	Secretion system	Type II secretion protein EtpD
etsC	etsC	Secretion system	Putative type I secretion outer membrane protein
F17A	F17A	Adhesion/Colonization	Major fimbrial subunit of F17
f17d-A	F17A	Adhesion/Colonization	Major fimbrial subunit of F17
faeG	faeG (K88)	Adhesion/Colonization	F4 (K88) Major fimbrial subunit
faeGab	faeG (K88)	Adhesion/Colonization	F4 (K88) Major fimbrial subunit
faeGab1	faeG (K88)	Adhesion/Colonization	F4 (K88) Major fimbrial subunit
faeGab2	faeG (K88)	Adhesion/Colonization	F4 (K88) Major fimbrial subunit
faeGac	faeG (K88)	Adhesion/Colonization	F4 (K88) Major fimbrial subunit
faeGad	faeG (K88)	Adhesion/Colonization	F4 (K88) Major fimbrial subunit
faeGW	faeG (K88)	Adhesion/Colonization	F4 (K88) Major fimbrial subunit
fanC	fanC (K99)	Adhesion/Colonization	F5 (K99) Major fimbrial subunit
fasA	fasA (987P)	Adhesion/Colonization	F6 (987P) Major subunit
fdeC	fdeC	Adhesion/Colonization	intimin-like adhesin FdeC
fedAab	fedA (F18)	Adhesion/Colonization	F18ab (F107) Major serotype specific fimbrial subunit A
fedAac	fedA (F18)	Adhesion/Colonization	F18ac (F107) Major serotype specific fimbrial subunit A
fedAnt	fedA (F18)	Adhesion/Colonization	F18 nontypeable (F107) Major serotype specific fimbrial subunit A
fib	fib	Adhesion/Colonization	fibrinogen-binding protein
fimF41	fimF41 (F41)	Adhesion/Colonization	FimF41 Major fimbrial subunit
fimH	fimH	Adhesion/Colonization	Type 1 fimbriae
fnbA	fnbA	Adhesion/Colonization	fibronectin-binding protein A
fnbB	fnbB	Adhesion/Colonization	fibronectin-binding protein B
focA	focA	Adhesion/Colonization	S fimbrial/F1C major fimbrial subunit
fotA	fotA	Adhesion/Colonization	CS18 Major subunit
fotS	fotS	Adhesion/Colonization	CS18 Site-specific recombinase
fotT	fotT	Adhesion/Colonization	CS18 Site-specific recombinase
fsrB	fsrB		biofilm formation
fyuA	fyuA	Iron uptake and utilization	Siderophore receptor
gad	gad	Protectins/Resistance to body defenses	Glutamate decarboxylase
geh	geh		glycerol ester hydrolase
gelE	gelE		
hha	hha	Toxins	hemolysin expression modulator Hha (previous rmoA)
hla	hla	Toxins	alpha-hemolysin precursor
hlb	hlb	Toxins	beta-hemolysin
hld	hld	Toxins	delta-hemolysin
hlgA	hlgA	Toxins	gamma-hemolysin chain II precursor
hlgB	hlgB	Toxins	gamma-hemolysin component B precursor
hlgC	hlgC	Toxins	gamma-hemolysin component C
